Type,Campaign,Ad group,Keyword,Match type,Final URL
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary near me,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,same day notary,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary houston,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary near me,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,same day notary,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Mobile Notary,mobile notary houston,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,notary near me,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,notary service near me,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,houston notary,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,notary near me,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,notary service near me,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Notary Near Me,houston notary,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Loan Signing,loan signing notary,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Loan Signing,loan signing agent,Exact match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Loan Signing,loan signing notary,Phrase match,https://houstonmobilenotarypros.com/booking
Ad group keyword,Mobile Notary — Houston — Search,Loan Signing,loan signing agent,Phrase match,https://houstonmobilenotarypros.com/booking

